Date,Personal Consumption,Vehicles,Furnishings and Durables,Recreational Goods,Other Duables,Groceries,Clothing and Footwear,Gasoline and Energy,Other Nondurables,Housing and Utilities,Health Care,Transportation Services,Recreational Services,Food Services and Accomandations,Financial Services,Other Services,Donation
1959-01,17.124,32.602,46.513,218.924,28.77,17.622,53.149,10.368,16.918,13.608,6.119,13.239,14.425,11.211,15.059,12.216,54.163
1959-02,17.138,32.652,46.487,218.929,28.815,17.556,53.137,10.574,16.915,13.618,6.131,13.273,14.501,11.268,15.058,12.21,53.932
1959-03,17.149,32.738,46.529,218.742,28.804,17.522,53.169,10.569,16.93,13.629,6.141,13.336,14.61,11.288,15.036,12.224,54.313
1959-04,17.183,32.769,46.664,218.062,28.83,17.473,53.258,10.64,16.998,13.685,6.168,13.375,14.706,11.359,14.998,12.219,54.943
1959-05,17.191,32.875,46.728,217.828,28.824,17.434,53.316,10.581,17.035,13.696,6.199,13.389,14.729,11.424,14.98,12.204,55.036
1959-06,17.24,33.003,46.814,217.433,28.818,17.492,53.37,10.538,17.114,13.753,6.217,13.423,14.826,11.451,14.99,12.266,55.014
1959-07,17.275,33.048,46.787,217.555,28.833,17.523,53.383,10.486,17.178,13.774,6.23,13.461,14.916,11.508,15.02,12.334,55.714
1959-08,17.3,32.668,46.815,217.891,28.796,17.458,53.616,10.658,17.253,13.787,6.256,13.504,15.012,11.524,15.041,12.42,55.911
1959-09,17.345,32.79,46.804,217.989,28.824,17.538,53.663,10.591,17.334,13.799,6.298,13.527,15.052,11.56,15.097,12.473,56.171
1959-10,17.387,32.749,46.799,217.832,28.813,17.543,53.672,10.803,17.326,13.853,6.348,13.531,15.137,11.564,15.163,12.508,55.988
1959-11,17.398,32.821,46.804,217.905,28.759,17.467,53.657,10.82,17.347,13.863,6.392,13.565,15.191,11.616,15.221,12.549,55.734
1959-12,17.418,32.83,46.829,217.935,28.815,17.461,53.685,10.822,17.367,13.918,6.416,13.594,15.209,11.624,15.291,12.562,54.926
1960-01,17.41,32.596,46.882,218.368,28.825,17.434,53.623,10.743,17.386,13.922,6.383,13.636,15.244,11.676,15.434,12.575,54.19
1960-02,17.427,32.647,46.96,218.851,28.863,17.414,53.861,10.711,17.392,13.932,6.448,13.657,15.291,11.725,15.448,12.579,53.266
1960-03,17.437,32.347,47.057,219.414,28.892,17.504,53.908,10.612,17.417,13.932,6.503,13.653,15.297,11.725,15.474,12.587,52.458
1960-04,17.501,32.407,47.104,219.502,28.872,17.682,54.112,10.688,17.405,13.94,6.556,13.658,15.335,11.74,15.557,12.625,52.113
1960-05,17.519,32.371,47.114,219.84,28.888,17.683,54.085,10.653,17.406,13.988,6.63,13.66,15.326,11.736,15.622,12.656,51.432
1960-06,17.527,32.159,47.111,219.755,28.916,17.653,54.053,10.726,17.396,13.99,6.68,13.703,15.385,11.745,15.699,12.695,50.955
1960-07,17.559,32.133,47.157,219.933,28.914,17.651,54.142,10.843,17.399,14.029,6.715,13.729,15.413,11.782,15.77,12.709,50.622
1960-08,17.589,32.145,47.16,219.979,28.906,17.657,54.316,10.96,17.407,14.035,6.756,13.747,15.495,11.778,15.85,12.733,50.507
1960-09,17.6,31.793,47.226,220.083,28.896,17.667,54.4,10.944,17.419,14.052,6.794,13.78,15.504,11.785,15.906,12.776,50.474
1960-10,17.62,31.724,47.267,219.846,28.874,17.766,54.396,10.863,17.415,14.056,6.812,13.81,15.531,11.799,15.987,12.785,50.388
1960-11,17.68,32.228,47.213,219.706,28.906,17.833,54.322,11.025,17.433,14.106,6.838,13.858,15.531,11.792,16.043,12.801,50.341
